session_id,participant_code,n_trials_observed,n_main_trials_observed,has_practice_trial,qc_main_prompt_count_ok,qc_main_prompt_ids_complete,qc_main_prompt_order_ok,qc_all_trial_core_ok
20260419141512-jt34p4,ก้องฟ้า,15,14,1,1,1,1,1
20260419145443-omhtrx,JJ,15,14,1,1,1,1,1
20260420042552-1pdrvw3,sine,15,14,1,1,1,1,1
20260420063815-19rm65e,superidol,15,14,1,1,1,1,1
20260420125333-ukjjv5,Kuga,15,14,1,1,1,1,1
20260420151441-b4zwmo,Mick,15,14,1,1,1,1,1
20260420162459-1rqejrq,Plub,15,14,1,1,1,1,1
20260421074612-1pl8erz,champion,15,14,1,1,1,1,1
20260422072537-15iap6f,Naenon,15,14,1,1,1,1,1
20260422072716-gd04si,เจ,15,14,1,1,1,1,1
20260422085611-ymkt5s,Micky,15,14,1,1,1,1,1
20260422123758-k3af7w,DDDD,15,14,1,1,1,1,1
20260422124629-1ue1i6s,M,15,14,1,1,1,1,1
20260422125452-imwczl,Ja,15,14,1,1,1,1,1
20260422131421-bqkmv2,Kurosagi Ichigo,15,14,1,1,1,1,1
20260422132335-1ewston,Shimmy,15,14,1,1,1,1,1
20260422133743-8nhcnc,Offroad,15,14,1,1,1,1,1
20260422154219-2bkllc,gobgab,15,14,1,1,1,1,1
20260423022204-r0lr3h,name,15,14,1,1,1,1,1
20260423060813-rjwkd0,Tack,15,14,1,1,1,1,1
20260423062023-gejtas,เทพซ่า676767677,15,14,1,1,1,1,1
20260423075501-38cbcj,น้ำ,15,14,1,1,1,1,1
20260423084348-yowi25,Chokdee`,15,14,1,1,1,1,1
20260423090458-kc7agh,Tw,15,14,1,1,1,1,1
20260423113659-1pcez16,march,15,14,1,1,1,1,1
20260423114247-jugfhg,Bao,15,14,1,1,1,1,1
