profile_value,n_positions,mean_time_to_stability_ms,mean_time_to_first_correct_ms,mean_revisions,wrong_first_rate,mean_friction,profile_dimension
COMMON,494,24875.35020242915,24869.82995951417,0.004048582995951417,0.12348178137651822,0.11489195791243371,expected_layout
EN,208,17749.783653846152,17749.783653846152,0.0,0.25,0.2395126271244527,expected_layout
TH,21372,23828.05072056897,23567.620812277746,0.011557177615571776,0.1071963316488864,-0.047908143289293006,expected_layout
<missing>,338,28315.352071005917,28272.795857988167,0.011834319526627219,0.06804733727810651,-0.14694662529432553,expected_layout
0,20878,23647.99458760418,23418.248395440176,0.010633202414024332,0.10657151068109973,-0.05788191769843313,expected_shift_required
1,1196,26346.69481605351,25701.214882943143,0.0225752508361204,0.1496655518394649,0.243429007508148,expected_shift_required
<missing>,338,28315.352071005917,28272.795857988167,0.011834319526627219,0.06804733727810651,-0.14694662529432553,expected_shift_required
0,21294,24109.383347421808,23862.904621020007,0.01112989574528036,0.1093265708650324,-0.04861962124785509,layout_switch_needed
1,78,14050.871794871795,14009.294871794871,0.01282051282051282,0.3333333333333333,0.4103392418743427,layout_switch_needed
<missing>,1040,19541.240384615383,19222.723076923077,0.014423076923076924,0.07019230769230769,0.03491750952692675,layout_switch_needed
arabic_numeral,130,21920.80769230769,21920.80769230769,0.0,0.19230769230769232,0.1633445079036152,expected_char_class
english_punctuation,78,10798.076923076924,10798.076923076924,0.0,0.34615384615384615,0.3664594924925152,expected_char_class
thai_consonant,13520,23747.59445266272,23470.5224852071,0.014349112426035503,0.10340236686390533,-0.02733687383224833,expected_char_class
thai_diacritic,182,30761.747252747253,30761.747252747253,0.0,0.10989010989010989,0.14352155315203374,expected_char_class
thai_numeral,104,36701.24038461538,36681.86538461538,0.009615384615384616,0.33653846153846156,0.5870572414212648,expected_char_class
thai_tone_mark,1404,24602.459401709402,24343.257122507122,0.007834757834757835,0.09686609686609686,-0.19731466885416798,expected_char_class
thai_vowel_mark,6162,23406.06994482311,23170.114086335605,0.0066536838688737426,0.11392405063291139,-0.07537218190149345,expected_char_class
whitespace,494,24875.35020242915,24869.82995951417,0.004048582995951417,0.12348178137651822,0.11489195791243371,expected_char_class
<missing>,338,28315.352071005917,28272.795857988167,0.011834319526627219,0.06804733727810651,-0.14694662529432553,expected_char_class
center,5304,21295.76979638009,20985.6858974359,0.013763197586726998,0.09370286576168929,-0.09486602815242297,expected_zone_proxy
left,5824,25751.828296703297,25606.27403846154,0.006353021978021978,0.11727335164835165,0.027408476370653037,expected_zone_proxy
right,10452,23920.172598545734,23626.11261002679,0.013107539226942211,0.1112705702257941,-0.060326422215759276,expected_zone_proxy
space,494,24875.35020242915,24869.82995951417,0.004048582995951417,0.12348178137651822,0.11489195791243371,expected_zone_proxy
<missing>,338,28315.352071005917,28272.795857988167,0.011834319526627219,0.06804733727810651,-0.14694662529432553,expected_zone_proxy
left,5824,25751.828296703297,25606.27403846154,0.006353021978021978,0.11727335164835165,0.027408476370653037,expected_hand_proxy
right,15756,23036.710269103834,22737.256092916985,0.013328255902513329,0.10535668951510535,-0.07195361629344804,expected_hand_proxy
thumb,494,24875.35020242915,24869.82995951417,0.004048582995951417,0.12348178137651822,0.11489195791243371,expected_hand_proxy
<missing>,338,28315.352071005917,28272.795857988167,0.011834319526627219,0.06804733727810651,-0.14694662529432553,expected_hand_proxy
high,11284,23933.617777383908,23728.261609358382,0.008862105636299186,0.10412974122651542,-0.012081764850694728,target_distance_bin
low,4602,24393.67905258583,24168.225336810083,0.010212950890916993,0.10560625814863103,-0.1789216613405348,target_distance_bin
medium,4498,23759.327923521567,23339.40506891952,0.019119608714984436,0.12383281458425967,-0.04410559401953953,target_distance_bin
<missing>,2028,22489.13017751479,22321.758875739644,0.009861932938856016,0.10305719921104536,0.0942453342636319,target_distance_bin
