profile_dimension,profile_value,n_participants,mean_time_to_stability_ms,mean_time_to_first_correct_ms,mean_revisions,wrong_first_rate,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate
expected_char_class,<missing>,26,28315.352071005917,28272.795857988163,0.01183431952662722,0.06804733727810651,-0.11423687961193695,0.06436263055177863,0.0,0.0,0.0
expected_char_class,arabic_numeral,26,21920.80769230769,21920.80769230769,0.0,0.19230769230769232,0.18862696094373732,0.11680613293516519,0.03363912073589493,0.0303030303030303,0.0
expected_char_class,english_punctuation,26,10798.076923076924,10798.076923076924,0.0,0.34615384615384615,0.41449850494189877,0.17098195921725334,0.005758946935417523,0.10359052711993888,0.0
expected_char_class,thai_consonant,26,23747.59445266272,23470.5224852071,0.014349112426035503,0.10340236686390533,0.004554895231812005,0.08825451770981566,0.03271606258958098,0.0008113042103869278,0.0019818813367617066
expected_char_class,thai_diacritic,26,30761.74725274725,30761.74725274725,0.0,0.10989010989010987,0.1610229817432652,0.07491658668129256,0.021870286576168928,0.0,0.0
expected_char_class,thai_numeral,26,36701.24038461538,36681.86538461538,0.009615384615384616,0.33653846153846156,0.5656082562692448,0.1855311355311355,0.006868131868131867,0.044108669108669105,0.0019230769230769232
expected_char_class,thai_tone_mark,26,24602.4594017094,24343.257122507122,0.007834757834757834,0.09686609686609685,-0.12055897524607585,0.11668069217812602,0.04053609423808206,0.0,0.001725143761980165
expected_char_class,thai_vowel_mark,26,23406.069944823106,23170.114086335605,0.0066536838688737426,0.11392405063291139,-0.004712495597992818,0.12110922514965822,0.03179547124327151,0.00046285053538924623,0.004930751970896434
expected_char_class,whitespace,26,24875.35020242915,24869.82995951417,0.004048582995951417,0.1234817813765182,0.19491484696786632,0.1061787582905189,0.0,0.0,0.0
expected_hand_proxy,<missing>,26,28315.352071005917,28272.795857988163,0.01183431952662722,0.06804733727810651,-0.11423687961193695,0.06436263055177863,0.0,0.0,0.0
expected_hand_proxy,left,26,25751.828296703294,25606.27403846154,0.006353021978021978,0.11727335164835165,0.05508844693781646,0.1008889066588661,0.02543023993953992,0.0010035141698841055,0.0015588427451950003
expected_hand_proxy,right,26,23036.710269103834,22737.256092916985,0.013328255902513329,0.10535668951510536,-0.008485733477887777,0.10887338733744925,0.03641509281465533,0.002650850328506655,0.003266408655760082
expected_hand_proxy,thumb,26,24875.35020242915,24869.82995951417,0.004048582995951417,0.1234817813765182,0.19491484696786632,0.1061787582905189,0.0,0.0,0.0
expected_layout,<missing>,26,28315.352071005917,28272.795857988163,0.01183431952662722,0.06804733727810651,-0.11423687961193695,0.06436263055177863,0.0,0.0,0.0
expected_layout,COMMON,26,24875.35020242915,24869.82995951417,0.004048582995951417,0.1234817813765182,0.19491484696786632,0.1061787582905189,0.0,0.0,0.0
expected_layout,EN,26,17749.783653846152,17749.783653846152,0.0,0.25,0.2903897334391576,0.17419639184345068,0.02745391863038922,0.07163669663669664,0.0
expected_layout,TH,26,23828.050720568972,23567.62081227775,0.011557177615571778,0.1071963316488864,0.004831034594071078,0.10575206109223864,0.03352803386433476,0.0011191377974447002,0.002852034870056875
expected_shift_required,0,26,23647.994587604175,23418.248395440176,0.010633202414024332,0.10657151068109973,0.004620618415684446,0.10514912730718652,0.03262148368717898,0.0017862106695185934,0.0018839834231812007
expected_shift_required,1,26,26346.694816053514,25701.214882943143,0.0225752508361204,0.1496655518394649,0.26209445795375463,0.14348303946014085,0.03335316752111708,0.007369412762225378,0.013618906175282726
expected_shift_required,<missing>,26,28315.352071005917,28272.795857988163,0.01183431952662722,0.06804733727810651,-0.11423687961193695,0.06436263055177863,0.0,0.0,0.0
expected_zone_proxy,<missing>,26,28315.352071005917,28272.795857988163,0.01183431952662722,0.06804733727810651,-0.11423687961193695,0.06436263055177863,0.0,0.0,0.0
expected_zone_proxy,center,26,21295.769796380093,20985.6858974359,0.013763197586726998,0.09370286576168928,-0.019072931673144774,0.11407771283704436,0.032302863378419776,0.0012476338323244632,0.00449073163441226
expected_zone_proxy,left,26,25751.828296703294,25606.27403846154,0.006353021978021978,0.11727335164835165,0.05508844693781646,0.1008889066588661,0.02543023993953992,0.0010035141698841055,0.0015588427451950003
expected_zone_proxy,right,26,23920.172598545734,23626.11261002679,0.013107539226942213,0.1112705702257941,-0.00796686233667441,0.10321710344291445,0.03780055493555387,0.0033192469785018356,0.002621593230620739
expected_zone_proxy,space,26,24875.35020242915,24869.82995951417,0.004048582995951417,0.1234817813765182,0.19491484696786632,0.1061787582905189,0.0,0.0,0.0
layout_switch_needed,0,26,24109.383347421808,23862.904621020003,0.011129895745280362,0.1093265708650324,0.01438633764045381,0.10781998226784686,0.033092054597433564,0.0012429493425900166,0.002860176612660743
layout_switch_needed,1,26,14050.871794871795,14009.294871794873,0.01282051282051282,0.3333333333333333,0.42595496617514156,0.1645294373801161,0.005758946935417523,0.09717557455114016,0.0
layout_switch_needed,<missing>,26,19541.240384615383,19222.723076923077,0.014423076923076924,0.07019230769230769,0.06641450127473113,0.09257836663481743,0.015470232869300018,0.0038284930362007183,0.0
target_distance_bin,<missing>,26,22489.130177514795,22321.758875739644,0.009861932938856014,0.10305719921104538,0.17756400700156377,0.13299698200575794,0.016240342407870437,0.01099772507063934,0.0006688963210702341
target_distance_bin,high,26,23933.617777383908,23728.261609358386,0.008862105636299186,0.10412974122651542,0.02697044265196837,0.09537595823512476,0.03115456035439487,0.0012183875458412782,0.0019799171203506594
target_distance_bin,low,26,24393.679052585834,24168.225336810083,0.010212950890916993,0.10560625814863103,-0.1221034072525791,0.097229255680738,0.03247030872488506,0.0,0.003647611746007482
target_distance_bin,medium,26,23759.327923521567,23339.40506891952,0.019119608714984436,0.12383281458425967,0.018765934462099718,0.11977555382153843,0.03870755158941904,0.0018276987411738074,0.004166915904504213
