prompt_id,prompt_typing_order,length_class,condition,prompt_text,prompt_length,n_trials,mean_duration_ms,mean_duration_per_character,mean_event_count,mean_delete_count,mean_number_of_error_episodes,mean_maximum_wrong_suffix_depth,mean_friction,mean_layout_switch_count,mean_near_key_typo_count,mean_layout_confusion_count,mean_shift_confusion_count,prompt_label
P01,1,short,familiar_baseline,วันนี้เราจะทำการบ้านให้เสร็จ,28,26,16386.76923076923,585.2417582417582,37.30769230769231,4.653846153846154,2.8461538461538463,1.2692307692307692,-0.08407353896883413,0.0,1.5384615384615385,0.0,0.11538461538461539,P01 | วันนี้เราจะทำการบ้านใ…
P02,2,short,familiar_polite,กรุณาตอบกลับภายในวันนี้,23,26,18638.96153846154,810.3896321070234,28.076923076923077,2.5384615384615383,1.6538461538461537,1.1923076923076923,-0.02332040253467513,0.0,1.1923076923076923,0.038461538461538464,0.11538461538461539,P02 | กรุณาตอบกลับภายในวันน…
P04,3,short,orthographic_named_entity,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,26,15101.807692307691,520.7519893899205,36.23076923076923,3.6153846153846154,2.3461538461538463,1.3846153846153846,0.023693711353407088,0.0,1.1538461538461537,0.0,0.11538461538461539,P04 | นิสิตจากจุฬาลงกรณ์มหา…
P03,4,short,formal_register,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,26,14863.0,495.43333333333334,42.38461538461539,6.1923076923076925,3.1153846153846154,2.576923076923077,0.006375600632715935,0.0,2.576923076923077,0.0,0.07692307692307693,P03 | ขอความกรุณาจัดทำเอกสา…
P05,5,short,twisted_proverb,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,26,17880.423076923078,576.7878411910671,48.84615384615385,8.923076923076923,4.0,3.3846153846153846,0.0512850565212325,0.0,2.1923076923076925,0.0,0.0,P05 | เข้าเมืองตาหลิ่ว ต้อง…
P09,6,medium,arabic_numerals,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,26,35302.0,767.4347826086957,66.46153846153847,10.23076923076923,3.730769230769231,3.8846153846153846,0.03769504100756147,0.0,2.8076923076923075,0.15384615384615385,0.3076923076923077,P09 | ชั้นมัธยมศึกษาปีที่ 6…
P11,7,medium,rhythmic_repetition,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,26,20588.76923076923,514.7192307692308,50.30769230769231,5.153846153846154,2.3461538461538463,2.769230769230769,-0.0026751635826066816,0.0,1.3076923076923077,0.038461538461538464,0.0,P11 | วันนี้ผมทักผมรักผมรอ …
P10,8,medium,thai_numerals,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,26,48241.346153846156,1048.7249163879599,65.38461538461539,9.692307692307692,6.076923076923077,2.1153846153846154,0.07695577718026517,0.0,1.6923076923076923,0.7307692307692307,0.5,P10 | ชั้นมัธยมศึกษาปีที่ ๖…
P06,9,medium,mixed_symbols_identification,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,26,25566.346153846152,491.66050295857985,67.6923076923077,7.846153846153846,4.1923076923076925,2.5384615384615383,0.030029790464994707,6.038461538461538,1.9615384615384615,1.1538461538461537,0.0,P06 | นักเรียน ม.5/6 ช่วยตร…
P08,10,medium,formal_lexical_difficulty,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,26,21912.69230769231,391.2980769230769,68.23076923076923,6.115384615384615,2.9615384615384617,2.576923076923077,-0.06833943057339917,0.0,2.1153846153846154,0.0,0.0,P08 | ขอความร่วมมือจัดเตรีย…
P07,11,medium,formal_educational,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,26,44890.307692307695,680.1561771561771,92.6923076923077,13.346153846153847,6.115384615384615,3.9615384615384617,-0.030592449736826788,0.0,4.3076923076923075,0.0,0.34615384615384615,P07 | นักเรียนพึงศึกษาเล่าเ…
P12,12,long,long_familiar_expository,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,26,53957.730769230766,424.86402180496674,158.92307692307693,15.961538461538462,7.346153846153846,5.1923076923076925,0.03131832994365144,0.0,3.923076923076923,0.0,0.5769230769230769,P12 | วันนี้ครูขอให้นักเรีย…
P14,13,long,long_mixed_difficulty,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,26,68988.76923076923,475.7846153846154,182.46153846153845,18.73076923076923,10.692307692307692,2.8461538461538463,-0.010127723751288535,0.0,6.076923076923077,0.38461538461538464,0.7307692307692307,P14 | สวัสดีคุณชาคริษฐ์ วัน…
P13,14,long,long_formal_bureaucratic,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,26,65458.846153846156,457.75416890801506,185.23076923076923,21.115384615384617,11.307692307692308,3.6153846153846154,-0.0006827037863510575,0.0,6.884615384615385,0.0,0.38461538461538464,P13 | ทางคณะผู้จัดทำขอความก…
