term,coef,std_err,p_value,ci_low,ci_high,model_name,focus_term
Intercept,0.004815655964936778,0.016051196180532808,0.7641630365353596,-0.026644110457694402,0.03627542238756796,rq2_revisions_lpm,False
C(char_class_j)[T.english_punctuation],-0.0006617256840140983,0.015867230445703685,0.9667347302354059,-0.031760925891990754,0.030437474523962556,rq2_revisions_lpm,False
C(char_class_j)[T.thai_consonant],0.019807937566244976,0.00406803140814902,1.1206781633277475e-06,0.011834742518295135,0.027781132614194817,rq2_revisions_lpm,False
C(char_class_j)[T.thai_diacritic],-0.008262075336201552,0.007630037733353006,0.27888146782590806,-0.023216674494255074,0.006692523821851969,rq2_revisions_lpm,False
C(char_class_j)[T.thai_numeral],-0.011981333322265583,0.007968028816897309,0.1326648239326425,-0.027598382831161603,0.003635716186630439,rq2_revisions_lpm,False
C(char_class_j)[T.thai_tone_mark],0.011723496522334014,0.005791966780063818,0.04296027989712153,0.00037145023375650607,0.023075542810911523,rq2_revisions_lpm,False
C(char_class_j)[T.thai_vowel_mark],0.012630186387686574,0.004591989464176585,0.005950758084561663,0.003630052420513088,0.02163032035486006,rq2_revisions_lpm,False
C(prompt_id)[T.P02],-0.01124854037186256,0.015269538115216374,0.4613258541277888,-0.04117628513824827,0.01867920439452315,rq2_revisions_lpm,False
C(prompt_id)[T.P03],-0.011220275972398032,0.01518648217667583,0.4600083391642765,-0.040985234090542104,0.01854468214574604,rq2_revisions_lpm,False
C(prompt_id)[T.P04],-0.01671690137746661,0.014880337209480786,0.2612582196073616,-0.0458818263858602,0.01244802363092698,rq2_revisions_lpm,False
C(prompt_id)[T.P05],0.012303814650990222,0.015967858312952284,0.4409818238764318,-0.018992612552634756,0.0436002418546152,rq2_revisions_lpm,False
C(prompt_id)[T.P06],-0.014229446834186131,0.015039376861417129,0.34407410480771594,-0.04370608383248874,0.015247190164116476,rq2_revisions_lpm,False
C(prompt_id)[T.P07],0.002706580349545609,0.01817818081164726,0.8816390860683521,-0.032921999345740104,0.03833516004483132,rq2_revisions_lpm,False
C(prompt_id)[T.P08],-0.017507995174107446,0.014865384923665856,0.23888855917557494,-0.04664361424081723,0.011627623892602332,rq2_revisions_lpm,False
C(prompt_id)[T.P09],0.01890554642191694,0.016962901168570656,0.26505480911308354,-0.014341128941793943,0.052152221785627825,rq2_revisions_lpm,False
C(prompt_id)[T.P10],-0.010422026213623191,0.015047656727764694,0.48855981087854394,-0.03991489145176383,0.01907083902451745,rq2_revisions_lpm,False
C(prompt_id)[T.P11],-0.013516795344377545,0.015177434377149425,0.3731518510728856,-0.04326402010131053,0.016230429412555435,rq2_revisions_lpm,False
C(prompt_id)[T.P12],-0.015256123188817547,0.014733847262305724,0.3004600397633902,-0.04413393317665084,0.013621686799015745,rq2_revisions_lpm,False
C(prompt_id)[T.P13],-0.013186081509886928,0.014738830293641137,0.3709746867666103,-0.04207365805967147,0.01570149503989761,rq2_revisions_lpm,False
C(prompt_id)[T.P14],-0.016749154589053745,0.014732351889083535,0.25558168912542123,-0.0456240336992281,0.012125724521120613,rq2_revisions_lpm,False
distance_from_prev_correct_j,-0.0002878600381383659,0.00048249874686992256,0.5507726916864921,-0.0012335402045891223,0.0006578201283123904,rq2_revisions_lpm,True
layout_switch_into_j,0.017128295096863713,0.02302764290069202,0.45698869601672554,-0.028005055637342104,0.06226164583106953,rq2_revisions_lpm,True
shift_required_j,0.01787556360909049,0.006348842880935494,0.0048691932582937475,0.005432060218953403,0.030319066999227578,rq2_revisions_lpm,True
