prompt_id,participant_a,participant_b,distance
P04,ก้องฟ้า,Tack,0.42950805082807225
P02,Kuga,เทพซ่า676767677,0.45611351094868746
P01,เทพซ่า676767677,sine,0.4630726748355917
P03,น้ำ,Kuga,0.4762882200331672
P06,Tw,น้ำ,0.509871312507354
P08,gobgab,น้ำ,0.5102990178904178
P09,Kuga,Kurosagi Ichigo,0.5479762751593727
P11,Chokdee`,champion,0.5567515239603632
P13,Offroad,DDDD,0.575237147887682
P12,Offroad,Ja,0.6114588528039266
P07,Mick,เทพซ่า676767677,0.6203895199052458
P05,เทพซ่า676767677,Tw,0.6367199240802202
P10,Offroad,DDDD,0.6635093283347772
P14,Ja,superidol,0.6641246421796596
