prompt_id,median_dtw_distance,mean_dtw_distance
P05,1.5146436941920656,1.4855592210141852
P10,1.3824137426873107,1.393058458838021
P03,1.376708163558264,1.419217918530735
P09,1.3602201600453072,1.5719036985218497
P11,1.2869101482048768,1.32275206672744
P04,1.2647358651419325,1.255697133468064
P06,1.2518348689407501,1.2560750050306189
P13,1.2419988404973514,1.2475106602747639
P12,1.231837023757532,1.4607835613336737
P14,1.2282965630963532,1.2124346487376247
P01,1.1898867197097927,1.2007639960538015
P08,1.1763098417246776,1.2106266481434618
P07,1.173434680344602,1.2600998257880127
P02,1.1705682367240036,1.2013526670782149
